Date,Start Time (Sask),Start Time (ET),Visitor,Score,Home,Score,Status,Visitor Goalie,Home Goalie
11/7/2025,9:00 PM,10:00 PM,Winnipeg Jets,,San Jose Sharks,,Scheduled,,
11/8/2025,11:30 AM,12:30 PM,Pittsburgh Penguins,,New Jersey Devils,,Scheduled,,
11/8/2025,12:00 PM,1:00 PM,Ottawa Senators,,Philadelphia Flyers,,Scheduled,,
11/8/2025,2:30 PM,3:30 PM,Dallas Stars,,Nashville Predators,,Scheduled,,
11/8/2025,6:00 PM,7:00 PM,Boston Bruins,,Toronto Maple Leafs,,Scheduled,,
11/8/2025,6:00 PM,7:00 PM,Utah Mammoth,,Montreal Canadiens,,Scheduled,,
11/8/2025,6:00 PM,7:00 PM,Washington Capitals,,Tampa Bay Lightning,,Scheduled,,
11/8/2025,6:00 PM,7:00 PM,New York Islanders,,New York Rangers,,Scheduled,,
11/8/2025,6:00 PM,7:00 PM,Buffalo Sabres,,Carolina Hurricanes,,Scheduled,,
11/8/2025,6:00 PM,7:00 PM,Seattle Kraken,,St. Louis Blues,,Scheduled,,
11/8/2025,9:00 PM,10:00 PM,Colorado Avalanche,,Edmonton Oilers,,Scheduled,,
11/8/2025,9:00 PM,10:00 PM,Columbus Blue Jackets,,Vancouver Canucks,,Scheduled,,
11/8/2025,9:00 PM,10:00 PM,Anaheim Ducks,,Vegas Golden Knights,,Scheduled,,
11/8/2025,9:00 PM,10:00 PM,Florida Panthers,,San Jose Sharks,,Scheduled,,
11/9/2025,12:00 PM,1:00 PM,Chicago Blackhawks,,Detroit Red Wings,,Scheduled,,
11/9/2025,1:00 PM,2:00 PM,Los Angeles Kings,,Pittsburgh Penguins,,Scheduled,,
11/9/2025,6:00 PM,7:00 PM,Carolina Hurricanes,,Toronto Maple Leafs,,Scheduled,,
11/9/2025,6:00 PM,7:00 PM,Utah Mammoth,,Ottawa Senators,,Scheduled,,
11/9/2025,6:00 PM,7:00 PM,Seattle Kraken,,Dallas Stars,,Scheduled,,
11/9/2025,7:00 PM,8:00 PM,Calgary Flames,,Minnesota Wild,,Scheduled,,
11/9/2025,9:00 PM,10:00 PM,Colorado Avalanche,,Vancouver Canucks,,Scheduled,,
11/9/2025,9:00 PM,10:00 PM,Winnipeg Jets,,Anaheim Ducks,,Scheduled,,
11/10/2025,6:00 PM,7:00 PM,New York Islanders,,New Jersey Devils,,Scheduled,,
11/10/2025,6:00 PM,7:00 PM,Nashville Predators,,New York Rangers,,Scheduled,,
11/10/2025,7:30 PM,8:30 PM,Columbus Blue Jackets,,Edmonton Oilers,,Scheduled,,
11/10/2025,9:00 PM,10:00 PM,Florida Panthers,,Vegas Golden Knights,,Scheduled,,
11/11/2025,6:00 PM,7:00 PM,Toronto Maple Leafs,,Boston Bruins,,Scheduled,,
11/11/2025,6:00 PM,7:00 PM,Los Angeles Kings,,Montreal Canadiens,,Scheduled,,
11/11/2025,6:00 PM,7:00 PM,Dallas Stars,,Ottawa Senators,,Scheduled,,
11/11/2025,6:00 PM,7:00 PM,Washington Capitals,,Carolina Hurricanes,,Scheduled,,
11/11/2025,7:00 PM,8:00 PM,Calgary Flames,,St. Louis Blues,,Scheduled,,
11/11/2025,7:00 PM,8:00 PM,San Jose Sharks,,Minnesota Wild,,Scheduled,,
11/11/2025,8:30 PM,9:30 PM,Anaheim Ducks,,Colorado Avalanche,,Scheduled,,
11/11/2025,9:00 PM,10:00 PM,Winnipeg Jets,,Vancouver Canucks,,Scheduled,,
11/11/2025,9:00 PM,10:00 PM,Columbus Blue Jackets,,Seattle Kraken,,Scheduled,,
11/12/2025,6:00 PM,7:00 PM,New York Rangers,,Tampa Bay Lightning,,Scheduled,,
11/12/2025,6:30 PM,7:30 PM,Edmonton Oilers,,Philadelphia Flyers,,Scheduled,,
11/12/2025,8:00 PM,9:00 PM,Buffalo Sabres,,Utah Mammoth,,Scheduled,,
11/12/2025,8:30 PM,9:30 PM,New Jersey Devils,,Chicago Blackhawks,,Scheduled,,
11/13/2025,6:00 PM,7:00 PM,Los Angeles Kings,,Toronto Maple Leafs,,Scheduled,,
11/13/2025,6:00 PM,7:00 PM,Dallas Stars,,Montreal Canadiens,,Scheduled,,
11/13/2025,6:00 PM,7:00 PM,Boston Bruins,,Ottawa Senators,,Scheduled,,
11/13/2025,6:00 PM,7:00 PM,Anaheim Ducks,,Detroit Red Wings,,Scheduled,,
11/13/2025,6:00 PM,7:00 PM,Washington Capitals,,Florida Panthers,,Scheduled,,
11/13/2025,6:00 PM,7:00 PM,Edmonton Oilers,,Columbus Blue Jackets,,Scheduled,,
11/13/2025,8:00 PM,9:00 PM,Buffalo Sabres,,Colorado Avalanche,,Scheduled,,
11/13/2025,8:00 PM,9:00 PM,San Jose Sharks,,Calgary Flames,,Scheduled,,
11/13/2025,9:00 PM,10:00 PM,New York Islanders,,Vegas Golden Knights,,Scheduled,,
11/13/2025,9:00 PM,10:00 PM,Winnipeg Jets,,Seattle Kraken,,Scheduled,,
11/14/2025,1:00 PM,2:00 PM,Pittsburgh Penguins,,Nashville Predators,,Scheduled,,
11/14/2025,6:00 PM,7:00 PM,Vancouver Canucks,,Carolina Hurricanes,,Scheduled,,
11/14/2025,7:00 PM,8:00 PM,Philadelphia Flyers,,St. Louis Blues,,Scheduled,,
11/14/2025,8:00 PM,9:00 PM,New York Islanders,,Utah Mammoth,,Scheduled,,
11/15/2025,5:00 PM,6:00 PM,Tampa Bay Lightning,,Florida Panthers,,Scheduled,,
11/15/2025,5:00 PM,6:00 PM,Anaheim Ducks,,Minnesota Wild,,Scheduled,,
11/15/2025,6:00 PM,7:00 PM,Boston Bruins,,Montreal Canadiens,,Scheduled,,
11/15/2025,6:00 PM,7:00 PM,Los Angeles Kings,,Ottawa Senators,,Scheduled,,
11/15/2025,6:00 PM,7:00 PM,Buffalo Sabres,,Detroit Red Wings,,Scheduled,,
11/15/2025,6:00 PM,7:00 PM,New Jersey Devils,,Washington Capitals,,Scheduled,,
11/15/2025,6:00 PM,7:00 PM,Edmonton Oilers,,Carolina Hurricanes,,Scheduled,,
11/15/2025,6:00 PM,7:00 PM,New York Rangers,,Columbus Blue Jackets,,Scheduled,,
11/15/2025,6:00 PM,7:00 PM,Toronto Maple Leafs,,Chicago Blackhawks,,Scheduled,,
11/15/2025,7:00 PM,8:00 PM,Vegas Golden Knights,,St. Louis Blues,,Scheduled,,
11/15/2025,7:00 PM,8:00 PM,Philadelphia Flyers,,Dallas Stars,,Scheduled,,
11/15/2025,9:00 PM,10:00 PM,Winnipeg Jets,,Calgary Flames,,Scheduled,,
11/15/2025,9:00 PM,10:00 PM,San Jose Sharks,,Seattle Kraken,,Scheduled,,
11/16/2025,8:00 AM,9:00 AM,Nashville Predators,,Pittsburgh Penguins,,Scheduled,,
11/16/2025,4:00 PM,5:00 PM,Vancouver Canucks,,Tampa Bay Lightning,,Scheduled,,
11/16/2025,5:00 PM,6:00 PM,Vegas Golden Knights,,Minnesota Wild,,Scheduled,,
11/16/2025,6:00 PM,7:00 PM,Detroit Red Wings,,New York Rangers,,Scheduled,,
11/16/2025,8:00 PM,9:00 PM,New York Islanders,,Colorado Avalanche,,Scheduled,,
11/17/2025,6:00 PM,7:00 PM,Carolina Hurricanes,,Boston Bruins,,Scheduled,,
11/17/2025,6:00 PM,7:00 PM,Edmonton Oilers,,Buffalo Sabres,,Scheduled,,
11/17/2025,6:00 PM,7:00 PM,Vancouver Canucks,,Florida Panthers,,Scheduled,,
11/17/2025,6:00 PM,7:00 PM,Los Angeles Kings,,Washington Capitals,,Scheduled,,
11/17/2025,6:30 PM,7:30 PM,Montreal Canadiens,,Columbus Blue Jackets,,Scheduled,,
11/17/2025,9:00 PM,10:00 PM,Utah Mammoth,,Anaheim Ducks,,Scheduled,,
11/18/2025,6:00 PM,7:00 PM,St. Louis Blues,,Toronto Maple Leafs,,Scheduled,,
11/18/2025,6:00 PM,7:00 PM,Seattle Kraken,,Detroit Red Wings,,Scheduled,,
11/18/2025,6:00 PM,7:00 PM,New Jersey Devils,,Tampa Bay Lightning,,Scheduled,,
11/18/2025,7:00 PM,8:00 PM,New York Islanders,,Dallas Stars,,Scheduled,,
11/18/2025,7:00 PM,8:00 PM,Columbus Blue Jackets,,Winnipeg Jets,,Scheduled,,
11/18/2025,7:30 PM,8:30 PM,Calgary Flames,,Chicago Blackhawks,,Scheduled,,
11/18/2025,9:00 PM,10:00 PM,New York Rangers,,Vegas Golden Knights,,Scheduled,,
11/18/2025,9:00 PM,10:00 PM,Utah Mammoth,,San Jose Sharks,,Scheduled,,
11/19/2025,6:00 PM,7:00 PM,Edmonton Oilers,,Washington Capitals,,Scheduled,,
11/19/2025,6:30 PM,7:30 PM,Calgary Flames,,Buffalo Sabres,,Scheduled,,
11/19/2025,8:30 PM,9:30 PM,Carolina Hurricanes,,Minnesota Wild,,Scheduled,,
11/19/2025,9:00 PM,10:00 PM,Boston Bruins,,Anaheim Ducks,,Scheduled,,
11/20/2025,6:00 PM,7:00 PM,Columbus Blue Jackets,,Toronto Maple Leafs,,Scheduled,,
11/20/2025,6:00 PM,7:00 PM,Washington Capitals,,Montreal Canadiens,,Scheduled,,
11/20/2025,6:00 PM,7:00 PM,New York Islanders,,Detroit Red Wings,,Scheduled,,
11/20/2025,6:00 PM,7:00 PM,Edmonton Oilers,,Tampa Bay Lightning,,Scheduled,,
11/20/2025,6:00 PM,7:00 PM,New Jersey Devils,,Florida Panthers,,Scheduled,,
11/20/2025,6:00 PM,7:00 PM,St. Louis Blues,,Philadelphia Flyers,,Scheduled,,
11/20/2025,7:00 PM,8:00 PM,Seattle Kraken,,Chicago Blackhawks,,Scheduled,,
11/20/2025,8:00 PM,9:00 PM,New York Rangers,,Colorado Avalanche,,Scheduled,,
11/20/2025,8:00 PM,9:00 PM,Vegas Golden Knights,,Utah Mammoth,,Scheduled,,
11/20/2025,9:00 PM,10:00 PM,Dallas Stars,,Vancouver Canucks,,Scheduled,,
11/20/2025,9:00 PM,10:00 PM,Ottawa Senators,,Anaheim Ducks,,Scheduled,,
11/20/2025,9:00 PM,10:00 PM,Los Angeles Kings,,San Jose Sharks,,Scheduled,,
11/21/2025,6:00 PM,7:00 PM,Chicago Blackhawks,,Buffalo Sabres,,Scheduled,,
11/21/2025,6:00 PM,7:00 PM,Minnesota Wild,,Pittsburgh Penguins,,Scheduled,,
11/21/2025,7:00 PM,8:00 PM,Carolina Hurricanes,,Winnipeg Jets,,Scheduled,,
11/21/2025,9:30 PM,10:30 PM,Boston Bruins,,Los Angeles Kings,,Scheduled,,
11/22/2025,12:00 PM,1:00 PM,Columbus Blue Jackets,,Detroit Red Wings,,Scheduled,,
11/22/2025,2:30 PM,3:30 PM,St. Louis Blues,,New York Islanders,,Scheduled,,
11/22/2025,6:00 PM,7:00 PM,Toronto Maple Leafs,,Montreal Canadiens,,Scheduled,,
11/22/2025,6:00 PM,7:00 PM,Edmonton Oilers,,Florida Panthers,,Scheduled,,
11/22/2025,6:00 PM,7:00 PM,New Jersey Devils,,Philadelphia Flyers,,Scheduled,,
11/22/2025,6:00 PM,7:00 PM,Seattle Kraken,,Pittsburgh Penguins,,Scheduled,,
11/22/2025,6:00 PM,7:00 PM,Tampa Bay Lightning,,Washington Capitals,,Scheduled,,
11/22/2025,6:00 PM,7:00 PM,Ottawa Senators,,San Jose Sharks,,Scheduled,,
11/22/2025,7:00 PM,8:00 PM,Colorado Avalanche,,Nashville Predators,,Scheduled,,
11/22/2025,8:00 PM,9:00 PM,New York Rangers,,Utah Mammoth,,Scheduled,,
11/22/2025,9:00 PM,10:00 PM,Dallas Stars,,Calgary Flames,,Scheduled,,
11/22/2025,9:00 PM,10:00 PM,Vegas Golden Knights,,Anaheim Ducks,,Scheduled,,
11/23/2025,12:00 PM,1:00 PM,Carolina Hurricanes,,Buffalo Sabres,,Scheduled,,
11/23/2025,3:00 PM,4:00 PM,Minnesota Wild,,Winnipeg Jets,,Scheduled,,
11/23/2025,4:00 PM,5:00 PM,Seattle Kraken,,New York Islanders,,Scheduled,,
11/23/2025,6:00 PM,7:00 PM,Colorado Avalanche,,Chicago Blackhawks,,Scheduled,,
11/23/2025,7:00 PM,8:00 PM,Boston Bruins,,San Jose Sharks,,Scheduled,,
11/23/2025,8:00 PM,9:00 PM,Calgary Flames,,Vancouver Canucks,,Scheduled,,
11/24/2025,6:00 PM,7:00 PM,Philadelphia Flyers,,Tampa Bay Lightning,,Scheduled,,
11/24/2025,6:00 PM,7:00 PM,Detroit Red Wings,,New Jersey Devils,,Scheduled,,
11/24/2025,6:00 PM,7:00 PM,St. Louis Blues,,New York Rangers,,Scheduled,,
11/24/2025,6:00 PM,7:00 PM,Columbus Blue Jackets,,Washington Capitals,,Scheduled,,
11/24/2025,7:00 PM,8:00 PM,Florida Panthers,,Nashville Predators,,Scheduled,,
11/24/2025,8:00 PM,9:00 PM,Vegas Golden Knights,,Utah Mammoth,,Scheduled,,
11/24/2025,8:00 PM,9:00 PM,Ottawa Senators,,Los Angeles Kings,,Scheduled,,
11/25/2025,8:00 PM,9:00 PM,Dallas Stars,,Edmonton Oilers,,Scheduled,,
11/26/2025,6:00 PM,7:00 PM,Nashville Predators,,Detroit Red Wings,,Scheduled,,
11/26/2025,6:00 PM,7:00 PM,Calgary Flames,,Tampa Bay Lightning,,Scheduled,,
11/26/2025,6:00 PM,7:00 PM,Philadelphia Flyers,,Florida Panthers,,Scheduled,,
11/26/2025,6:00 PM,7:00 PM,St. Louis Blues,,New Jersey Devils,,Scheduled,,
11/26/2025,6:00 PM,7:00 PM,Boston Bruins,,New York Islanders,,Scheduled,,
11/26/2025,6:00 PM,7:00 PM,Buffalo Sabres,,Pittsburgh Penguins,,Scheduled,,
11/26/2025,6:00 PM,7:00 PM,Winnipeg Jets,,Washington Capitals,,Scheduled,,
11/26/2025,6:00 PM,7:00 PM,New York Rangers,,Carolina Hurricanes,,Scheduled,,
11/26/2025,6:00 PM,7:00 PM,Toronto Maple Leafs,,Columbus Blue Jackets,,Scheduled,,
11/26/2025,7:30 PM,8:30 PM,Minnesota Wild,,Chicago Blackhawks,,Scheduled,,
11/26/2025,8:00 PM,9:00 PM,San Jose Sharks,,Colorado Avalanche,,Scheduled,,
11/26/2025,8:30 PM,9:30 PM,Montreal Canadiens,,Utah Mammoth,,Scheduled,,
11/26/2025,9:00 PM,10:00 PM,Ottawa Senators,,Vegas Golden Knights,,Scheduled,,
11/26/2025,9:00 PM,10:00 PM,Vancouver Canucks,,Anaheim Ducks,,Scheduled,,
11/26/2025,9:00 PM,10:00 PM,Dallas Stars,,Seattle Kraken,,Scheduled,,
11/28/2025,12:00 PM,1:00 PM,New York Rangers,,Boston Bruins,,Scheduled,,
11/28/2025,12:00 PM,1:00 PM,Tampa Bay Lightning,,Detroit Red Wings,,Scheduled,,
11/28/2025,2:30 PM,3:30 PM,Colorado Avalanche,,Minnesota Wild,,Scheduled,,
11/28/2025,3:00 PM,4:00 PM,New Jersey Devils,,Buffalo Sabres,,Scheduled,,
11/28/2025,3:00 PM,4:00 PM,Calgary Flames,,Florida Panthers,,Scheduled,,
11/28/2025,3:00 PM,4:00 PM,Philadelphia Flyers,,New York Islanders,,Scheduled,,
11/28/2025,3:00 PM,4:00 PM,Ottawa Senators,,St. Louis Blues,,Scheduled,,
11/28/2025,3:00 PM,4:00 PM,Montreal Canadiens,,Vegas Golden Knights,,Scheduled,,
11/28/2025,3:00 PM,4:00 PM,Los Angeles Kings,,Anaheim Ducks,,Scheduled,,
11/28/2025,3:00 PM,4:00 PM,Vancouver Canucks,,San Jose Sharks,,Scheduled,,
11/28/2025,4:00 PM,5:00 PM,Toronto Maple Leafs,,Washington Capitals,,Scheduled,,
11/28/2025,4:00 PM,5:00 PM,Winnipeg Jets,,Carolina Hurricanes,,Scheduled,,
11/28/2025,6:00 PM,7:00 PM,Pittsburgh Penguins,,Columbus Blue Jackets,,Scheduled,,
11/28/2025,7:00 PM,8:00 PM,Nashville Predators,,Chicago Blackhawks,,Scheduled,,
11/28/2025,8:00 PM,9:00 PM,Utah Mammoth,,Dallas Stars,,Scheduled,,
11/29/2025,1:00 PM,2:00 PM,Tampa Bay Lightning,,New York Rangers,,Scheduled,,
11/29/2025,2:00 PM,3:00 PM,Montreal Canadiens,,Colorado Avalanche,,Scheduled,,
11/29/2025,3:00 PM,4:00 PM,Edmonton Oilers,,Seattle Kraken,,Scheduled,,
11/29/2025,6:00 PM,7:00 PM,Detroit Red Wings,,Boston Bruins,,Scheduled,,
11/29/2025,6:00 PM,7:00 PM,Philadelphia Flyers,,New Jersey Devils,,Scheduled,,
11/29/2025,6:00 PM,7:00 PM,Toronto Maple Leafs,,Pittsburgh Penguins,,Scheduled,,
11/29/2025,6:00 PM,7:00 PM,Winnipeg Jets,,Nashville Predators,,Scheduled,,
11/29/2025,7:00 PM,8:00 PM,Utah Mammoth,,St. Louis Blues,,Scheduled,,
11/29/2025,7:00 PM,8:00 PM,Buffalo Sabres,,Minnesota Wild,,Scheduled,,
11/29/2025,9:00 PM,10:00 PM,San Jose Sharks,,Vegas Golden Knights,,Scheduled,,
11/29/2025,9:00 PM,10:00 PM,Vancouver Canucks,,Los Angeles Kings,,Scheduled,,
11/30/2025,12:00 PM,1:00 PM,Washington Capitals,,New York Islanders,,Scheduled,,
11/30/2025,2:30 PM,3:30 PM,Anaheim Ducks,,Chicago Blackhawks,,Scheduled,,
11/30/2025,4:00 PM,5:00 PM,Calgary Flames,,Carolina Hurricanes,,Scheduled,,
11/30/2025,5:00 PM,6:00 PM,Ottawa Senators,,Dallas Stars,,Scheduled,,
12/1/2025,6:00 PM,7:00 PM,Columbus Blue Jackets,,New Jersey Devils,,Scheduled,,
12/1/2025,6:00 PM,7:00 PM,Pittsburgh Penguins,,Philadelphia Flyers,,Scheduled,,
12/1/2025,6:30 PM,7:30 PM,Winnipeg Jets,,Buffalo Sabres,,Scheduled,,
12/1/2025,7:00 PM,8:00 PM,Anaheim Ducks,,St. Louis Blues,,Scheduled,,
12/1/2025,9:00 PM,10:00 PM,Utah Mammoth,,San Jose Sharks,,Scheduled,,
12/2/2025,6:00 PM,7:00 PM,Ottawa Senators,,Montreal Canadiens,,Scheduled,,
12/2/2025,6:00 PM,7:00 PM,Boston Bruins,,Detroit Red Wings,,Scheduled,,
12/2/2025,6:00 PM,7:00 PM,Toronto Maple Leafs,,Florida Panthers,,Scheduled,,
12/2/2025,6:00 PM,7:00 PM,Tampa Bay Lightning,,New York Islanders,,Scheduled,,
12/2/2025,6:00 PM,7:00 PM,Dallas Stars,,New York Rangers,,Scheduled,,
12/2/2025,7:00 PM,8:00 PM,Calgary Flames,,Nashville Predators,,Scheduled,,
12/2/2025,8:00 PM,9:00 PM,Vancouver Canucks,,Colorado Avalanche,,Scheduled,,
12/2/2025,8:00 PM,9:00 PM,Minnesota Wild,,Edmonton Oilers,,Scheduled,,
12/2/2025,9:00 PM,10:00 PM,Chicago Blackhawks,,Vegas Golden Knights,,Scheduled,,
12/2/2025,9:30 PM,10:30 PM,Washington Capitals,,Los Angeles Kings,,Scheduled,,
12/3/2025,6:00 PM,7:00 PM,Dallas Stars,,New Jersey Devils,,Scheduled,,
12/3/2025,6:30 PM,7:30 PM,Winnipeg Jets,,Montreal Canadiens,,Scheduled,,
12/3/2025,6:30 PM,7:30 PM,Buffalo Sabres,,Philadelphia Flyers,,Scheduled,,
12/3/2025,9:00 PM,10:00 PM,Utah Mammoth,,Anaheim Ducks,,Scheduled,,
12/3/2025,9:00 PM,10:00 PM,Washington Capitals,,San Jose Sharks,,Scheduled,,
12/4/2025,6:00 PM,7:00 PM,St. Louis Blues,,Boston Bruins,,Scheduled,,
12/4/2025,6:00 PM,7:00 PM,New York Rangers,,Ottawa Senators,,Scheduled,,
12/4/2025,6:00 PM,7:00 PM,Pittsburgh Penguins,,Tampa Bay Lightning,,Scheduled,,
12/4/2025,6:00 PM,7:00 PM,Nashville Predators,,Florida Panthers,,Scheduled,,
12/4/2025,6:00 PM,7:00 PM,Colorado Avalanche,,New York Islanders,,Scheduled,,
12/4/2025,6:00 PM,7:00 PM,Toronto Maple Leafs,,Carolina Hurricanes,,Scheduled,,
12/4/2025,6:00 PM,7:00 PM,Detroit Red Wings,,Columbus Blue Jackets,,Scheduled,,
12/4/2025,8:00 PM,9:00 PM,Minnesota Wild,,Calgary Flames,,Scheduled,,
12/4/2025,8:00 PM,9:00 PM,Seattle Kraken,,Edmonton Oilers,,Scheduled,,
12/4/2025,9:30 PM,10:30 PM,Chicago Blackhawks,,Los Angeles Kings,,Scheduled,,
12/5/2025,6:00 PM,7:00 PM,Vegas Golden Knights,,New Jersey Devils,,Scheduled,,
12/5/2025,6:00 PM,7:00 PM,Buffalo Sabres,,Winnipeg Jets,,Scheduled,,
12/5/2025,7:00 PM,8:00 PM,San Jose Sharks,,Dallas Stars,,Scheduled,,
12/5/2025,8:00 PM,9:00 PM,Utah Mammoth,,Vancouver Canucks,,Scheduled,,
12/5/2025,9:00 PM,10:00 PM,Washington Capitals,,Anaheim Ducks,,Scheduled,,
12/6/2025,11:30 AM,12:30 PM,Colorado Avalanche,,New York Rangers,,Scheduled,,
12/6/2025,2:30 PM,3:30 PM,Columbus Blue Jackets,,Florida Panthers,,Scheduled,,
12/6/2025,6:00 PM,7:00 PM,New Jersey Devils,,Boston Bruins,,Scheduled,,
12/6/2025,6:00 PM,7:00 PM,Montreal Canadiens,,Toronto Maple Leafs,,Scheduled,,
12/6/2025,6:00 PM,7:00 PM,St. Louis Blues,,Ottawa Senators,,Scheduled,,
12/6/2025,6:00 PM,7:00 PM,New York Islanders,,Tampa Bay Lightning,,Scheduled,,
12/6/2025,6:00 PM,7:00 PM,Nashville Predators,,Carolina Hurricanes,,Scheduled,,
12/6/2025,6:00 PM,7:00 PM,Utah Mammoth,,Calgary Flames,,Scheduled,,
12/6/2025,8:00 PM,9:00 PM,Chicago Blackhawks,,Los Angeles Kings,,Scheduled,,
12/6/2025,9:00 PM,10:00 PM,Winnipeg Jets,,Edmonton Oilers,,Scheduled,,
12/6/2025,9:00 PM,10:00 PM,Minnesota Wild,,Vancouver Canucks,,Scheduled,,
12/6/2025,9:00 PM,10:00 PM,Detroit Red Wings,,Seattle Kraken,,Scheduled,,
12/7/2025,12:00 PM,1:00 PM,Colorado Avalanche,,Philadelphia Flyers,,Scheduled,,
12/7/2025,4:00 PM,5:00 PM,New York Islanders,,Florida Panthers,,Scheduled,,
12/7/2025,4:00 PM,5:00 PM,San Jose Sharks,,Carolina Hurricanes,,Scheduled,,
12/7/2025,5:00 PM,6:00 PM,Pittsburgh Penguins,,Dallas Stars,,Scheduled,,
12/7/2025,6:00 PM,7:00 PM,St. Louis Blues,,Montreal Canadiens,,Scheduled,,
12/7/2025,6:00 PM,7:00 PM,Vegas Golden Knights,,New York Rangers,,Scheduled,,
12/7/2025,6:00 PM,7:00 PM,Columbus Blue Jackets,,Washington Capitals,,Scheduled,,
12/7/2025,7:00 PM,8:00 PM,Chicago Blackhawks,,Anaheim Ducks,,Scheduled,,
12/8/2025,6:30 PM,7:30 PM,Tampa Bay Lightning,,Toronto Maple Leafs,,Scheduled,,
12/8/2025,8:00 PM,9:00 PM,Los Angeles Kings,,Utah Mammoth,,Scheduled,,
12/8/2025,8:00 PM,9:00 PM,Buffalo Sabres,,Calgary Flames,,Scheduled,,
12/8/2025,9:00 PM,10:00 PM,Detroit Red Wings,,Vancouver Canucks,,Scheduled,,
12/8/2025,9:00 PM,10:00 PM,Minnesota Wild,,Seattle Kraken,,Scheduled,,
12/9/2025,6:00 PM,7:00 PM,Tampa Bay Lightning,,Montreal Canadiens,,Scheduled,,
12/9/2025,6:00 PM,7:00 PM,New Jersey Devils,,Ottawa Senators,,Scheduled,,
12/9/2025,6:00 PM,7:00 PM,Vegas Golden Knights,,New York Islanders,,Scheduled,,
12/9/2025,6:00 PM,7:00 PM,San Jose Sharks,,Philadelphia Flyers,,Scheduled,,
12/9/2025,6:00 PM,7:00 PM,Anaheim Ducks,,Pittsburgh Penguins,,Scheduled,,
12/9/2025,6:00 PM,7:00 PM,Columbus Blue Jackets,,Carolina Hurricanes,,Scheduled,,
12/9/2025,6:00 PM,7:00 PM,Boston Bruins,,St. Louis Blues,,Scheduled,,
12/9/2025,7:00 PM,8:00 PM,Dallas Stars,,Winnipeg Jets,,Scheduled,,
12/9/2025,8:00 PM,9:00 PM,Buffalo Sabres,,Edmonton Oilers,,Scheduled,,
12/9/2025,8:30 PM,9:30 PM,Colorado Avalanche,,Nashville Predators,,Scheduled,,
12/10/2025,6:30 PM,7:30 PM,New York Rangers,,Chicago Blackhawks,,Scheduled,,
12/10/2025,7:30 PM,8:30 PM,Detroit Red Wings,,Calgary Flames,,Scheduled,,
12/10/2025,9:00 PM,10:00 PM,Florida Panthers,,Utah Mammoth,,Scheduled,,
12/10/2025,9:00 PM,10:00 PM,Los Angeles Kings,,Seattle Kraken,,Scheduled,,
12/11/2025,6:00 PM,7:00 PM,San Jose Sharks,,Toronto Maple Leafs,,Scheduled,,
12/11/2025,6:00 PM,7:00 PM,Tampa Bay Lightning,,New Jersey Devils,,Scheduled,,
12/11/2025,6:00 PM,7:00 PM,Anaheim Ducks,,New York Islanders,,Scheduled,,
12/11/2025,6:00 PM,7:00 PM,Vegas Golden Knights,,Philadelphia Flyers,,Scheduled,,
12/11/2025,6:00 PM,7:00 PM,Montreal Canadiens,,Pittsburgh Penguins,,Scheduled,,
12/11/2025,6:00 PM,7:00 PM,Carolina Hurricanes,,Washington Capitals,,Scheduled,,
12/11/2025,6:00 PM,7:00 PM,Ottawa Senators,,Columbus Blue Jackets,,Scheduled,,
12/11/2025,7:00 PM,8:00 PM,St. Louis Blues,,Nashville Predators,,Scheduled,,
12/11/2025,7:00 PM,8:00 PM,Dallas Stars,,Minnesota Wild,,Scheduled,,
12/11/2025,7:00 PM,8:00 PM,Boston Bruins,,Winnipeg Jets,,Scheduled,,
12/11/2025,8:00 PM,9:00 PM,Florida Panthers,,Colorado Avalanche,,Scheduled,,
12/11/2025,8:00 PM,9:00 PM,Detroit Red Wings,,Edmonton Oilers,,Scheduled,,
12/11/2025,9:00 PM,10:00 PM,Buffalo Sabres,,Vancouver Canucks,,Scheduled,,
12/12/2025,7:00 PM,8:00 PM,Chicago Blackhawks,,St. Louis Blues,,Scheduled,,
12/12/2025,8:00 PM,9:00 PM,Seattle Kraken,,Utah Mammoth,,Scheduled,,
12/13/2025,11:30 AM,12:30 PM,Anaheim Ducks,,New Jersey Devils,,Scheduled,,
12/13/2025,1:00 PM,2:00 PM,Ottawa Senators,,Minnesota Wild,,Scheduled,,
12/13/2025,2:00 PM,3:00 PM,San Jose Sharks,,Pittsburgh Penguins,,Scheduled,,
12/13/2025,2:30 PM,3:30 PM,Tampa Bay Lightning,,New York Islanders,,Scheduled,,
12/13/2025,6:00 PM,7:00 PM,Edmonton Oilers,,Toronto Maple Leafs,,Scheduled,,
12/13/2025,6:00 PM,7:00 PM,Montreal Canadiens,,New York Rangers,,Scheduled,,
12/13/2025,6:00 PM,7:00 PM,Carolina Hurricanes,,Philadelphia Flyers,,Scheduled,,
12/13/2025,6:00 PM,7:00 PM,Vegas Golden Knights,,Columbus Blue Jackets,,Scheduled,,
12/13/2025,6:00 PM,7:00 PM,Washington Capitals,,Winnipeg Jets,,Scheduled,,
12/13/2025,7:00 PM,8:00 PM,Detroit Red Wings,,Chicago Blackhawks,,Scheduled,,
12/13/2025,7:00 PM,8:00 PM,Florida Panthers,,Dallas Stars,,Scheduled,,
12/13/2025,8:00 PM,9:00 PM,Nashville Predators,,Colorado Avalanche,,Scheduled,,
12/13/2025,9:00 PM,10:00 PM,Calgary Flames,,Los Angeles Kings,,Scheduled,,
